case,z,y,x,lung,delta,dc,fab,era
CT00000100,160,128,192,0.49720458984375,-0.6994522991590202,0.046386003494262695,1,0
CT00000100,160,128,256,0.9002685546875,0.7484866655431688,0.08971679955720901,0,1
CT00000100,160,192,0,0.261236572265625,-4.769858904182911,0.06234784796833992,0,1
CT00000100,160,192,64,0.9040283203125,-0.7530167349614203,0.08141998201608658,1,0
CT00000100,160,192,128,0.38785400390625,-7.5855860486626625,0.051590923219919205,0,0
CT00000100,160,192,192,0.4401123046875,-7.519696373492479,0.05161357671022415,1,0
CT00000100,160,192,256,0.88985595703125,-1.1966731399297714,0.068034328520298,1,4
CT00000100,200,128,192,0.251953125,-0.3486640052869916,0.06130753085017204,0,0
CT00000100,200,128,256,0.20621337890625,0.654801435302943,0.13504357635974884,0,0
CT00000100,200,192,64,0.28363037109375,-2.212830586358905,0.05757506564259529,1,0
CT00000100,200,192,192,0.21368408203125,-6.321595516055822,0.06770332157611847,0,0
CT00000100,200,192,256,0.4064208984375,-1.8429276533424854,0.0689631775021553,2,1
CT00000101,40,64,64,0.419073486328125,-6.417574360966682,0.08445192128419876,0,1
CT00000101,40,64,128,0.27784423828125,-6.502952426671982,0.07299432158470154,0,1
CT00000101,40,64,192,0.40858154296875,-6.24666316434741,0.07234585285186768,1,1
CT00000101,40,64,256,0.410394287109375,-7.526349276304245,0.0982900857925415,0,0
CT00000101,40,128,64,0.8959716796875,-2.624280983582139,0.10446351021528244,2,0
CT00000101,40,128,128,0.69788818359375,-0.8152914233505726,0.04318266361951828,0,0
CT00000101,40,128,192,0.585247802734375,-1.7695981077849865,0.04300100728869438,0,0
CT00000101,40,128,256,0.905523681640625,-2.868745708838105,0.10497646778821945,0,0
CT00000101,40,192,64,0.325909423828125,-8.995909243822098,0.0597945973277092,0,0
CT00000101,40,192,256,0.22503662109375,-8.396567776799202,0.0665489211678505,1,1
CT00000101,80,64,64,0.9106201171875,-2.0774102304130793,0.0935438871383667,1,2
CT00000101,80,64,128,0.44150390625,0.5356820183806121,0.03677342087030411,0,1
CT00000101,80,64,192,0.50675048828125,0.6254109321162105,0.05128397047519684,1,0
CT00000101,80,64,256,0.95633544921875,0.08444855484412983,0.0958053469657898,0,0
CT00000101,80,128,0,0.358935546875,-4.582853522151709,0.0443861186504364,1,0
CT00000101,80,128,64,0.99586181640625,1.1401359224691987,0.16511137783527374,3,1
CT00000101,80,128,128,0.538055419921875,0.39090655627660453,0.0551716573536396,0,1
CT00000101,80,128,192,0.28443603515625,-0.551284640096128,0.040011338889598846,0,1
CT00000101,80,128,256,0.9821533203125,0.9166884701699018,0.10436203330755234,1,0
CT00000101,80,192,64,0.633929443359375,-5.8575039729475975,0.05185730382800102,0,1
CT00000101,80,192,128,0.335247802734375,-7.532109506428242,0.0561191625893116,0,3
CT00000101,80,192,192,0.2060302734375,-7.359558250755072,0.05841059982776642,2,2
CT00000101,80,192,256,0.504876708984375,-5.549205467104912,0.04842572286725044,0,1
CT00000101,120,0,64,0.34033203125,-1.01481715682894,0.033877816051244736,1,0
CT00000101,120,0,256,0.427655029296875,-2.0929351449012756,0.04029448330402374,0,1
CT00000101,120,64,0,0.36270751953125,-4.117465578019619,0.046688735485076904,1,1
CT00000101,120,64,64,0.997509765625,0.7388863014057279,0.1423836201429367,0,2
CT00000101,120,64,256,0.954901123046875,1.1002979008480906,0.09084470570087433,1,1
CT00000101,120,128,0,0.52490234375,-5.195002071559429,0.04832145571708679,0,1
CT00000101,120,128,64,0.991778564453125,1.4617262640967965,0.10089940577745438,2,0
CT00000101,120,128,128,0.608404541015625,-0.3076842112932354,0.05286579951643944,0,0
CT00000101,120,128,192,0.2689208984375,-0.6443479796871543,0.05032556876540184,1,1
CT00000101,120,128,256,0.97529296875,1.4485175488516688,0.09312323480844498,0,1
CT00000101,120,192,64,0.805224609375,-3.2389359548687935,0.059461746364831924,0,0
CT00000101,120,192,128,0.41165771484375,-7.166013587266207,0.050270743668079376,0,2
CT00000101,120,192,192,0.259368896484375,-7.626570761203766,0.05348548665642738,2,1
CT00000101,120,192,256,0.63896484375,-4.194670356810093,0.052838560193777084,1,0
CT00000101,160,0,64,0.295947265625,-1.220587408170104,0.03903339430689812,0,1
