CTHNet+流匹配(ours)_contrast,CTHNet+流匹配(ours)_mean,CTHNet+流匹配(ours)_peak,base_contrast,base_mean,base_peak,diameter_mm,ref_contrast,ref_mean,ref_peak,uid,up_contrast,up_mean,up_peak
114.984375,-688.015625,-387.0,120.798583984375,-685.701416015625,-459.25,4.78,240.611083984375,-562.388916015625,-241.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,72.1026611328125,-713.8410034179688,-584.7290649414062
516.7432861328125,-272.5067443847656,-10.4375,507.6483154296875,-276.8516845703125,-71.5,3.66,920.0423583984375,81.54237365722656,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,238.5504150390625,-548.48046875,-339.69708251953125
363.5918884277344,-508.4081115722656,-23.734375,285.7750244140625,-557.7249755859375,-254.125,3.94,414.9200134277344,-446.0799865722656,-37.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,177.4305419921875,-679.9916381835938,-487.569091796875
480.68609619140625,-304.81390380859375,113.375,492.37054443359375,-293.12945556640625,109.8125,11.1,530.9736328125,-266.0263671875,241.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,376.7486877441406,-380.6137390136719,72.01566314697266
366.89068603515625,-401.10931396484375,-11.0546875,382.1898498535156,-391.8101501464844,-20.625,4.81,450.01885986328125,-310.98114013671875,98.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,181.04876708984375,-569.739013671875,-340.1583251953125
494.0513610839844,-240.44863891601562,86.25,503.6758117675781,-238.32418823242188,64.9375,17.53,525.706298828125,-234.293701171875,144.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,423.8804626464844,-255.74105834960938,49.467559814453125
236.0732879638672,-228.9267120361328,30.109375,200.93206787109375,-229.06793212890625,-23.015625,5.25,245.0098114013672,-167.9901885986328,61.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-37.00103759765625,-430.61871337890625,25.93340492248535
534.1033325195312,-339.39666748046875,32.03125,522.5358276367188,-333.96417236328125,-32.0625,4.68,485.38665771484375,-348.61334228515625,-20.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,102.0970458984375,-669.9329223632812,-589.9954833984375
323.7875671386719,-438.2124328613281,-132.625,326.5426330566406,-424.9573669433594,-132.625,6.24,504.3410339355469,-284.6589660644531,1.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,231.69317626953125,-507.81976318359375,-228.1989288330078
393.46722412109375,-266.03277587890625,139.5,401.9562683105469,-265.2937316894531,27.203125,10.83,562.6430053710938,-199.8569793701172,169.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,248.3582763671875,-324.8758544921875,1.3427480459213257
227.69329833984375,-573.0567016601562,-149.25,238.223876953125,-565.276123046875,-194.0,10.06,265.693115234375,-535.306884765625,-135.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,153.12652587890625,-625.534912109375,-392.5286560058594
146.19891357421875,-729.3010864257812,-414.5,149.65509033203125,-718.8449096679688,-466.75,5.03,150.44525146484375,-716.5547485351562,-599.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,55.93817138671875,-804.2335205078125,-749.6934814453125
282.62799072265625,-562.3720092773438,-93.75,303.48309326171875,-550.0169067382812,-155.75,6.01,408.8738708496094,-458.1261291503906,26.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,171.949462890625,-627.5518798828125,-342.5680236816406
542.1350708007812,-144.86492919921875,113.8125,544.9588623046875,-125.5411605834961,86.9375,5.25,1126.416015625,335.4159851074219,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,447.8447570800781,-284.2149353027344,62.96820831298828
232.4483642578125,-572.5516357421875,106.8125,240.33966064453125,-555.1603393554688,17.609375,8.1,239.657958984375,-555.342041015625,33.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,91.8280029296875,-662.5311279296875,-528.9351806640625
309.77618408203125,-442.22381591796875,8.7421875,344.6282653808594,-423.8717346191406,8.7421875,5.56,447.2023010253906,-314.7976989746094,148.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,205.87384033203125,-538.1543579101562,-5.67738676071167
96.22039794921875,-232.27960205078125,126.9375,68.58992004394531,-237.1600799560547,126.9375,7.9,118.48262023925781,-174.0173797607422,305.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,28.1533203125,-301.09149169921875,124.31216430664062
389.29180908203125,-367.70819091796875,65.9375,396.3606262207031,-363.6393737792969,65.9375,5.72,458.4685363769531,-287.5314636230469,160.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,307.0639953613281,-442.9164733886719,46.622718811035156
645.3729858398438,-125.87702178955078,290.25,644.0169067382812,-137.98309326171875,245.5,5.67,1174.441650390625,325.4416198730469,1024.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,443.58953857421875,-258.43768310546875,247.07229614257812
467.2987060546875,-368.2012939453125,-14.40625,466.2901306152344,-370.2098693847656,-56.84375,6.28,564.7548828125,-281.2451477050781,61.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,284.53155517578125,-536.1390991210938,-232.5548858642578
181.338623046875,-547.161376953125,-58.6875,197.86029052734375,-536.6397094726562,-115.875,7.0,201.83203125,-526.16796875,-51.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,116.4620361328125,-597.625,-305.4559020996094
366.1916198730469,-430.3083801269531,47.65625,350.6924133300781,-434.8075866699219,-78.75,5.1,304.0666809082031,-450.9333190917969,57.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,103.841552734375,-648.4756469726562,-473.16461181640625
95.173828125,-732.826171875,-371.0,85.9140625,-740.5859375,-563.5,4.09,175.984375,-624.515625,-355.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,81.26849365234375,-733.8189086914062,-603.1280517578125
215.94171142578125,-566.5582885742188,-91.5625,238.2303466796875,-542.2696533203125,-199.5,3.6,337.0674133300781,-422.9325866699219,-5.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,97.15594482421875,-694.1101684570312,-559.89990234375
304.8526916503906,-478.1473083496094,-65.1875,304.563720703125,-475.186279296875,-107.4375,4.36,385.1233825683594,-391.3766174316406,50.0,1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,91.46356201171875,-674.2156982421875,-535.2072143554688
